Programme course id,Programme code,Study Year,Academic Year,Course,Course Type
100012013-20141204,10001,1.0,2013-2014,1204,compulsory
100012013-20141082,10001,1.0,2013-2014,1082,compulsory
100012013-20141190,10001,1.0,2013-2014,1190,compulsory
100012013-20141009,10001,1.0,2013-2014,1009,compulsory
100012013-20141264,10001,1.0,2013-2014,1264,elective
100012013-20141161,10001,1.0,2013-2014,1161,elective
100012013-20141076,10001,1.0,2013-2014,1076,elective
100012013-20141055,10001,1.0,2013-2014,1055,elective
100012013-20141048,10001,1.0,2013-2014,1048,elective
100012013-20141007,10001,1.0,2013-2014,1007,elective
100012014-20151124,10001,1.0,2014-2015,1124,compulsory
100012014-20151019,10001,1.0,2014-2015,1019,compulsory
100012014-20151193,10001,1.0,2014-2015,1193,compulsory-elective
100012014-20151108,10001,1.0,2014-2015,1108,compulsory-elective
100012014-20151063,10001,1.0,2014-2015,1063,compulsory-elective
100012014-20151050,10001,1.0,2014-2015,1050,compulsory-elective
100012014-20151256,10001,1.0,2014-2015,1256,elective
100012014-20151240,10001,1.0,2014-2015,1240,elective
100012014-20151159,10001,1.0,2014-2015,1159,elective
100012014-20151107,10001,1.0,2014-2015,1107,elective
100012014-20151068,10001,1.0,2014-2015,1068,elective
100012014-20151048,10001,1.0,2014-2015,1048,elective
100012015-20161256,10001,1.0,2015-2016,1256,compulsory
100012015-20161251,10001,1.0,2015-2016,1251,compulsory
100012015-20161269,10001,1.0,2015-2016,1269,compulsory
100012015-20161200,10001,1.0,2015-2016,1200,compulsory
100012015-20161290,10001,1.0,2015-2016,1290,elective
100012015-20161197,10001,1.0,2015-2016,1197,elective
100012015-20161147,10001,1.0,2015-2016,1147,elective
100012015-20161123,10001,1.0,2015-2016,1123,elective
100012015-20161052,10001,1.0,2015-2016,1052,elective
100012016-20171186,10001,1.0,2016-2017,1186,compulsory
100012016-20171102,10001,1.0,2016-2017,1102,compulsory
100012016-20171227,10001,1.0,2016-2017,1227,compulsory-elective
100012016-20171089,10001,1.0,2016-2017,1089,compulsory-elective
100012016-20171084,10001,1.0,2016-2017,1084,compulsory-elective
100012016-20171021,10001,1.0,2016-2017,1021,compulsory-elective
100012016-20171252,10001,1.0,2016-2017,1252,elective
100012016-20171172,10001,1.0,2016-2017,1172,elective
100012016-20171158,10001,1.0,2016-2017,1158,elective
100012016-20171091,10001,1.0,2016-2017,1091,elective
100012016-20171045,10001,1.0,2016-2017,1045,elective
100012017-20181272,10001,1.0,2017-2018,1272,compulsory
100012017-20181248,10001,1.0,2017-2018,1248,compulsory
100012017-20181232,10001,1.0,2017-2018,1232,compulsory
100012017-20181006,10001,1.0,2017-2018,1006,compulsory
100012017-20181241,10001,1.0,2017-2018,1241,elective
100012017-20181215,10001,1.0,2017-2018,1215,elective
100012017-20181090,10001,1.0,2017-2018,1090,elective
100012017-20181085,10001,1.0,2017-2018,1085,elective
100012017-20181082,10001,1.0,2017-2018,1082,elective
100012017-20181033,10001,1.0,2017-2018,1033,elective
100012018-20191144,10001,1.0,2018-2019,1144,compulsory
100012018-20191250,10001,1.0,2018-2019,1250,compulsory-elective
